n,name_c,Worldwide_TOP_10,Worldwide_TOP_11_50,Worldwide_TOP_51_100,Streams_Worldwide,Streams_LATAM,LATAM_TOP_10,LATAM_TOP_11_50,LATAM_TOP_51_100,Streams_EUROPE,EUROPE_TOP_10,EUROPE_TOP_11_50,EUROPE_TOP_51_100,Streams_ASIA,ASIA_TOP_10,ASIA_TOP_11_50,ASIA_TOP_51_100,Streams_OCEANIA,OCEANIA_TOP_10,OCEANIA_TOP_11_50,OCEANIA_TOP_51_100,Streams_NORTH_AMERICA,NORTH_AMERICA_TOP_10,NORTH AMERICA_TOP_11_50,NORTH AMERICA_TOP_51_100,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_seg
44,In the Name of Love,0,0,1,177081738,51734497,0,1,0,53460089,0,0,1,20106826,0,0,1,6653905,0,0,1,45126421,0,0,1,04DwTuZ2VBdJCCC5TROn7,Martin Garrix,0.49,0.485,4,-6.237,0,0.0406,0.0592,0,0.337,0.196,133.889,4,195.84
45,iSpy,0,0,1,324140116,733564,0,0,1,52243001,0,0,1,8887533,0,0,1,16142447,0,0,1,246133571,1,0,0,2EEeOnHehOozLq4aS0n6S,KYLE,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,4,253.107
46,Issues,0,1,0,424868909,19441954,0,0,1,179539044,0,1,0,32185868,0,1,0,27398243,0,1,0,166303800,0,1,0,6D0b04NJIKfEMg040WioJ,Julia Michaels,0.706,0.427,8,-6.864,1,0.0879,0.413,0,0.0609,0.42,113.804,4,176.32
47,It Ain't Me,1,0,0,586223442,79664763,0,1,0,278089058,1,0,0,46111785,0,1,0,27337238,0,1,0,155020598,0,1,0,3eR23VReFzcdmS7TYCrhC,Kygo,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4,220.781
48,Just Hold On,0,0,1,187757141,42937228,0,1,0,80294599,0,0,1,22535216,0,0,1,8323175,0,0,1,33666923,0,0,1,3EmmCZoqpWOTY1g2GBwJo,Steve Aoki,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,4,198.774
49,Let Me Love You,0,0,1,297470244,99732756,0,1,0,102304908,0,0,1,29854954,0,1,0,14169239,0,0,1,51408387,0,0,1,4pdPtRcBmOSQDlJ3Fk945,DJ Snake,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,4,205.947
50,Location,0,1,0,339644182,1021316,0,0,1,45412462,0,0,1,22513990,0,0,1,27125474,0,1,0,243570940,1,0,0,152lZdxL1OR0ZMW6KquMi,Khalid,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4,219.08
51,Look What You Made Me Do,0,0,1,276671906,45889557,0,1,0,90090157,0,0,1,31687208,0,1,0,15041344,0,0,1,93963640,0,0,1,6uFsE1JgZ20EXyU0JQZbU,Taylor Swift,0.773,0.68,9,-6.378,0,0.141,0.213,1.57e-05,0.122,0.497,128.062,4,211.859
52,Malibu,0,0,1,206022276,28480251,0,0,1,87727768,0,0,1,7753924,0,0,1,17323974,0,0,1,64736359,0,0,1,1UZOjK1BwmwWU14Erba9C,Miley Cyrus,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,4,231.907
53,Mama,0,1,0,372654319,23878722,0,0,1,222595667,0,1,0,56119182,0,1,0,26368914,0,1,0,43691834,0,0,1,0NiXXAI876aGImAd6rTj8,Jonas Blue,0.746,0.793,11,-4.209,0,0.0412,0.11,0,0.0528,0.557,104.027,4,181.615
54,Mask Off,0,1,0,489646073,8433709,0,0,1,180226036,0,1,0,11605228,0,0,1,22023195,0,1,0,267357905,1,0,0,0VgkVdmE4gld66l8iyGjg,Future,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4,204.6
55,Me Rehuso,0,1,0,439550669,306818532,1,0,0,119586173,0,0,1,950137,0,0,1,173533,0,0,1,12022294,0,0,1,6De0lHrwBfPfrhorm9q1X,Danny Ocean,0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,4,205.715
56,Mi Gente,0,1,0,543242911,185080892,1,0,0,216972701,0,1,0,12196383,0,0,1,13569040,0,0,1,115423895,0,1,0,2rb5MvYT7ZIxbKW5hfcHx,J Balvin,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,4,189.44
57,More Than You Know,0,1,0,341063108,31002388,0,0,1,221884930,0,1,0,24178494,0,1,0,14239301,0,0,1,49757995,0,0,1,3PEgB3fkiojxms35ntsTg,Axwell /\ Ingrosso,0.644,0.743,5,-5.002,0,0.0355,0.034,0,0.257,0.544,123.074,4,203
58,New Rules,0,1,0,558437362,107228442,0,1,0,242387780,0,1,0,54695339,0,1,0,32700899,1,0,0,121424902,0,1,0,2ekn2ttSfGqwhhate0LSR,Dua Lipa,0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71e-06,0.179,0.656,116.054,4,208.827
59,No Promises,0,0,1,268536936,25534889,0,0,1,106561038,0,0,1,42363736,0,1,0,21301222,0,1,0,72776051,0,0,1,1louJpMmzEicAn7lzDalP,Cheat Codes,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,4,223.504
60,Now Or Never,0,0,1,199498481,10493968,0,0,1,41487013,0,0,1,15548594,0,0,1,20888490,0,0,1,111080416,0,1,0,7i2DJ88J7jQ8K7zqFX2fW,Halsey,0.658,0.588,6,-4.902,0,0.0367,0.105,1.28e-06,0.125,0.434,110.075,4,214.802
61,One Dance,0,0,1,310389228,69710210,0,1,0,107023000,0,0,1,7355685,0,0,1,15920789,0,0,1,110379544,0,1,0,1xznGGDReH1oQq0xzbwXa,Drake,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,4,173.987
62,Otra Vez,0,0,1,210490643,172727790,1,0,0,37753586,0,0,1,9267,0,0,1,0,0,0,0,0,0,0,0,3QwBODjSEzelZyVjxPOHd,Zion & Lennox,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,4,209.453
63,Paris,0,1,0,472586044,62263797,0,1,0,197819068,0,1,0,53373530,0,1,0,21331471,0,1,0,137798178,0,1,0,72jbDTw1piOOj770jWNea,The Chainsmokers,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4,221.507
64,Passionfruit,0,1,0,391205873,31810525,0,0,1,130404528,0,1,0,12904881,0,0,1,24309297,0,1,0,191776642,0,1,0,7hDc8b7IXETo14hHIHdnh,Drake,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4,298.941
65,Perfect,0,1,0,491712069,63529643,0,1,0,211532670,0,1,0,70744001,1,0,0,28117062,0,1,0,117788693,0,1,0,0tgVpDi06FyKpA1z0VMD4,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,263.4
66,Pretty Girl,0,0,1,295325246,1661789,0,0,1,176499222,0,1,0,43937789,0,1,0,24128733,0,1,0,49097713,0,0,1,1NDxZ7cFAo481dtYWdrUn,Maggie Lindemann,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,4,193.613
67,Redbone,0,0,1,283893829,121326,0,0,1,50351912,0,0,1,7151968,0,0,1,28588856,0,1,0,197679767,0,1,0,3kxfsdsCpFgN412fpnW85,Childish Gambino,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,4,326.933
68,Reggaeton Lento,0,0,1,201015121,153155920,0,1,0,47716202,0,0,1,142999,0,0,1,0,0,0,0,0,0,0,0,3AEZUABDXNtecAOSC1qTf,CNCO,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,4,222.56
69,Rockabye,0,1,0,459780860,96408316,0,1,0,230521603,0,1,0,42491678,0,1,0,20547600,0,0,1,69811663,0,0,1,5knuzwU65gJK7IF5yJsua,Clean Bandit,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,4,251.088
70,rockstar,1,0,0,628662532,53819166,0,1,0,249552716,0,1,0,20723193,0,0,1,35432278,1,0,0,269135179,1,0,0,7wGoVu4Dady5GV0Sv4UIs,Post Malone,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,4,218.32
71,Say You Won't Let Go,0,1,0,450341929,23181412,0,0,1,162587183,0,1,0,82123133,1,0,0,24378085,0,1,0,158072116,0,1,0,5uCax9HTNlzGybIStD3vD,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4,211.467
72,Scared to Be Lonely,0,1,0,412397574,70062884,0,1,0,205984659,0,1,0,45526973,0,1,0,21420634,0,1,0,69402424,0,0,1,3ebXMykcMXOcLeJ9xZ17X,Martin Garrix,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,4,220.883
73,Shape of You,1,0,0,1503176575,317259173,1,0,0,664157972,1,0,0,126278938,1,0,0,65189042,1,0,0,330291450,1,0,0,7qiZfU4dY1lWllzX7mPBI,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4,233.713
74,Side To Side,0,0,1,188885374,57290948,0,1,0,47018833,0,0,1,21068738,0,0,1,9265473,0,0,1,54241382,0,0,1,4pLwZjInHj3SimIyN9SnO,Ariana Grande,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,4,226.16
75,Sign of the Times,0,0,1,229882136,53561115,0,1,0,87779764,0,0,1,13106226,0,0,1,12725008,0,0,1,62710023,0,0,1,5Ohxk2dO5COHF1krpoPig,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4,340.707
76,Silence,0,1,0,366521831,27376510,0,0,1,161965810,0,1,0,30801172,0,1,0,26527388,0,1,0,119850951,0,1,0,7vGuf3Y35N4wmASOKLUVV,Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,180.823
77,Slide,0,1,0,387867341,30675312,0,0,1,139294475,0,1,0,23556239,0,0,1,26366340,0,1,0,167974975,0,1,0,7tr2za8SQg2CI8EDgrdtN,Calvin Harris,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,4,230.813
78,Slow Hands,0,0,1,272892919,8396340,0,0,1,91056606,0,0,1,33297045,0,1,0,23673875,0,1,0,116469053,0,1,0,38yBBH2jacvDxrznF7h08,Niall Horan,0.734,0.418,0,-6.678,1,0.0425,0.0129,0,0.0579,0.868,85.909,4,188.174
79,Solo Dance,0,0,1,292117611,12257136,0,0,1,203265090,0,1,0,17249847,0,0,1,16962769,0,0,1,42382769,0,0,1,6HUnnBwYZqcED1eQztxMB,Martin Jensen,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,4,174.933
80,Something Just Like This,1,0,0,693853930,114955674,0,1,0,289076407,1,0,0,90022432,1,0,0,32335535,0,1,0,167463882,0,1,0,6RUKPb4LETWmmr3iAEQkt,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,247.16
81,Sorry Not Sorry,0,1,0,356405109,52536618,0,1,0,102366164,0,0,1,36325429,0,1,0,26832834,0,1,0,138344064,0,1,0,3m660poUr1chesgkkjQM7,Demi Lovato,0.704,0.633,11,-6.923,0,0.241,0.0214,0,0.29,0.863,144.021,4,203.76
82,Starboy,0,1,0,422657069,88824298,0,1,0,126054449,0,0,1,23149234,0,0,1,22924211,0,1,0,161704877,0,1,0,5aAx2yezTd8zXrkmtKl66,The Weeknd,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,4,230.453
83,Starving,0,0,1,202047358,10835672,0,0,1,60131863,0,0,1,43424666,0,1,0,15257942,0,0,1,72397215,0,0,1,6875MeXyCW0wLyT72Eetm,Hailee Steinfeld,0.721,0.626,4,-4.2,1,0.123,0.402,0,0.102,0.558,99.914,4,181.933
84,Stay,0,1,0,498306535,55991206,0,1,0,182534754,0,1,0,55628366,0,1,0,30039031,0,1,0,174113178,0,1,0,0dA2Mk56wEzDgegdC6R17,Zedd,0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,4,210.091
85,Strip That Down,0,1,0,411071756,35843539,0,0,1,161357863,0,1,0,50647568,0,1,0,30614604,0,1,0,132608182,0,1,0,6EpRaXYhGOB3fj4V2uDkM,Liam Payne,0.869,0.485,6,-5.595,1,0.0545,0.246,0,0.0765,0.527,106.028,4,204.502
86,SUBEME LA RADIO,0,0,1,265390901,106474403,0,1,0,154312723,0,1,0,1083577,0,0,1,0,0,0,0,3520198,0,0,1,7nKBxz47S9SD79N086fuh,Enrique Iglesias,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.647,91.048,4,208.163
87,Swalla,0,1,0,486761082,89625832,0,1,0,251229659,1,0,0,32748504,0,1,0,23837311,0,1,0,89319776,0,0,1,6kex4EBAj0WHXDKZMEJaa,Jason Derulo,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,4,216.409
88,Symphony,0,1,0,430205570,27883304,0,0,1,257450069,1,0,0,59426154,1,0,0,27115677,0,1,0,58330366,0,0,1,1x5sYLZiu9r5E43kMlt9f,Clean Bandit,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,4,212.459
89,That's What I Like,0,1,0,558234182,107057942,0,1,0,117583227,0,0,1,75485932,1,0,0,28377905,0,1,0,229729176,0,1,0,0KKkJNfGyhkQ5aFogxQAP,Bruno Mars,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4,206.693
